時刻,平日
5,[普通]中  04  [普通]中  35  [特急]名  41
6,[普通]中  04  [急行]中  24  [急行]中  43
7,[特急]賢  02  [急行]中  13  [特急]名  22  [普通]中  27  [特急]宇  38  [急行]五  41  [急行]青  56
8,[特急]賢  03  [普通]青  08  [特急]名  23  [急行]五  24  [急行]青  36  [特急]宇  44  [急行]中  50
9,[特急]賢  04  [普通]中  12  [特急]名  25  [特急]鳥  28  [快急]青  29  [特急]宇  43  [急行]中  51
10,[特急]賢  04  [快急]松  05  [普通]中  12  [特急]名  24  [特急]賢  26  [急行]青  29  [急行]中  43
11,[特急]賢  05  [普通]青  10  [特急]名  24  [急行]青  25  [急行]中  42
12,[特急]賢  05  [普通]青  10  [特急]名  24  [急行]青  25  [急行]中  49
13,[特急]賢  05  [普通]青  10  [特急]名  24  [急行]青  25  [急行]中  49
14,[特急]賢  05  [普通]青  10  [特急]名  24  [急行]青  25  [急行]五  49
15,[特急]賢  05  [普通]中  10  [特急]名  24  [急行]青  25  [急行]五  50
16,[特急]賢  05  [普通]中  10  [特急]名  24  [急行]中  28  [急行]青  43
17,[特急]賢  05  [急行]五  07  [特急]名  24  [急行]青  25  [急行]中  42  [急行]青  56
18,[特急]鳥  05  [急行]宇  11  [特急]名  26  [特急]鳥  29  [急行]青  30  [特急]松  38  [急行]中  50
19,[急行]青  02  [特急]五  08  [急行]宇  16  [特急]名  26  [快急]青  27  [特急]松  40  [快急]青  43  [快急]松  54
20,[特急]宇  08  [快急]青  13  [特急]名  26  [快急]青  27  [特急]松  40  [快急]鳥  43  [快急]青  55
21,[特急]松  08  [快急]松  15  [特急]名  26  [急行]青  30  [急行]宇  43  [特急]松  50
22,[普通]青  04  [特急]松  11  [急行]青  18  [特急]名  26  [急行]青  30  [急行]青  44  [特急]松  48  [急行]青  58
23,[普通]明  07  [急行]青  16  [普通]青  24  [急行]青  35
0,[普通]青  11  [急行]青  21
