時刻,平日
5,[普通]位  00  [普通]位  15  [急行]上  34  [区準]上  43  [特急]難  51  [急行]上  52  [特急]京  58
6,[区準]上  02  [急行]上  09  [特急]上  16  [急行]上  20  [区準]上  26  [特急]上  33  [快急]上  37  [準急]上  45  [快急]上  49  [快急]上  56
7,[特急]上  04  [快急]上  11  [特急]京  19  [快急]上  20  [特急]上  26  [準急]上  27  [特急]上  42  [快急]上  43
8,[特急]難  01  [急行]上  03  [特急]難  26  [急行]上  29  [特急]上  47  [急行]上  48  [特急]難  59
9,[特急]京  02  [急行]上  03  [特急]上  19  [急行]上  28  [特急]難  40  [特急]難  57  [急行]上  58
10,[急行]上  17  [特急]難  39  [急行]上  40  [特急]難  57  [急行]上  59
11,[急行]上  17  [特急]難  39  [急行]上  40  [特急]難  57  [急行]上  59
12,[急行]上  17  [特急]難  39  [急行]上  40  [特急]難  57  [急行]上  59
13,[急行]上  17  [特急]難  39  [急行]上  40  [特急]難  57  [急行]上  59
14,[急行]上  17  [特急]難  39  [急行]上  40  [特急]難  57  [急行]上  59
15,[急行]上  17  [特急]難  39  [急行]上  40  [特急]難  57  [特急]京  59
16,[急行]上  01  [急行]上  19  [急行]上  35  [特急]難  43  [特急]難  55  [特急]京  57  [急行]上  58
17,[急行]上  17  [特急]上  24  [急行]上  33  [特急]難  43  [特急]難  56  [急行]上  57
18,[急行]上  09  [特急]上  23  [急行]上  28  [特急]難  41  [急行]上  42  [特急]難  58
19,[急行]上  02  [急行]上  27  [特急]難  34  [急行]上  51  [特急]難  58
20,[急行]上  06  [特急]難  27  [急行]上  28  [急行]上  50  [特急]難  57
21,[急行]上  06  [特急]難  25  [急行]上  26  [普通]上  41  [特急]難  57  [急行]上  58
22,[急行]上  17  [急行]上  39  [特急]難  57
23,[普通]高  13
