時刻,分
5,[普通]位  00  [普通]位  15  [急行]上  34  [普通]位  45  [特急]難  53
6,[急行]上  07  [特急]上  19  [快急]上  26  [準急]上  29  [快急]上  38  [快急]上  50  [区準]上  57
7,[V]上  04  [快急]上  09  [V]京  22  [UL■]難  25  [快急]上  26  [急行]上  32  [V]上  43  [急行]上  46
8,[UL■]難  00  [急行]上  01  [急行]上  20  [特急]上  27  [急行]上  36  [特急]上  48  [急行]上  53  [UL■]難  59
9,[V]京  02  [特急]上  14  [急行]上  18  [急行]上  34  [V]難  43  [UL■]難  56  [急行]上  57
10,[V]京  10  [急行]上  17  [特急]難  26  [V]難  39  [急行]上  40  [UL■]難  57  [急行]上  59
11,[急行]上  17  [特急]難  39  [急行]上  40  [UL■]難  57  [急行]上  59
12,[急行]上  17  [V]難  39  [急行]上  40  [UL■]難  57  [急行]上  59
13,[急行]上  17  [ISL■]難  39  [急行]上  40  [UL■]難  57  [急行]上  59
14,[急行]上  17  [特急]難  39  [急行]上  40  [UL■]難  57  [急行]上  59
15,[急行]上  17  [ISL■]難  39  [急行]上  40  [UL■]難  57  [ISL■]京  59
16,[急行]上  00  [急行]上  19  [V]上  25  [V]難  40  [急行]上  41  [UL■]難  55  [V]京  57  [急行]上  58
17,[快急]上  17  [V]上  25  [急行]上  33  [特急]難  40  [UL■]難  58
18,[急行]上  03  [特急]上  26  [急行]上  27  [特急]難  39  [急行]上  48  [UL■]難  58
19,[急行]上  08  [急行]上  30  [ISL■]難  37  [急行]上  49  [UL■]難  57
20,[区準]上  09  [ISL■]上  24  [急行]上  29  [普通]上  41  [UL■]難  56  [急行]上  57
21,[V]難  26  [急行]上  28  [UL■]難  56  [急行]上  57
22,[V]上  18  [急行]上  30  [普通]高  46  [UL■]難  56
23,[普通]高  10
