"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id","wheelchair_accessible"
"4_501_20231101","5_1_20231101","4_1_5010311_2_11_20231101","10 汁付",,"1",,,,,"5",
"4_501_20231101","5_2_20231101","4_2_5010311_2_21_20231101","10 汁付",,"1",,,,,"5",
"4_501_20231101","5_3_20231101","4_3_5010311_2_31_20231101","10 汁付",,"1",,,,,"5",
"4_501_20231101","5_1_20231101","4_1_5010411_2_14_20231101","12 汁付",,"1",,,,,"5",
"4_501_20231101","5_1_20231101","4_1_5010411_2_15_20231101","12 汁付",,"1",,,,,"5",
"4_501_20231101","5_1_20231101","4_1_5010411_2_16_20231101","12 汁付",,"1",,,,,"5",
"4_501_20231101","5_1_20231101","4_1_5010411_2_17_20231101","12 汁付",,"1",,,,,"5",
"4_501_20231101","5_1_20231101","4_1_5010411_2_18_20231101","12 汁付",,"1",,,,,"5",
"4_501_20231101","5_1_20231101","4_1_5010411_2_19_20231101","12 汁付",,"1",,,,,"5",
"4_501_20231101","5_2_20231101","4_2_5010411_2_23_20231101","12 汁付",,"1",,,,,"5",
"4_501_20231101","5_2_20231101","4_2_5010411_2_25_20231101","12 汁付",,"1",,,,,"5",
"4_501_20231101","5_2_20231101","4_2_5010411_2_27_20231101","12 汁付",,"1",,,,,"5",
"4_501_20231101","5_3_20231101","4_3_5010411_2_33_20231101","12 汁付",,"1",,,,,"5",
"4_501_20231101","5_3_20231101","4_3_5010411_2_35_20231101","12 汁付",,"1",,,,,"5",
"4_501_20231101","5_3_20231101","4_3_5010411_2_37_20231101","12 汁付",,"1",,,,,"5",
"4_501_20231101","5_1_20231101","4_1_5010412_1_110_20231101","12 上野市駅",,"0",,,,,"5",
"4_501_20231101","5_1_20231101","4_1_5010412_1_111_20231101","12 上野市駅",,"0",,,,,"5",
"4_501_20231101","5_1_20231101","4_1_5010412_1_112_20231101","12 上野市駅",,"0",,,,,"5",
"4_501_20231101","5_1_20231101","4_1_5010412_1_115_20231101","12 上野市駅",,"0",,,,,"5",
"4_501_20231101","5_1_20231101","4_1_5010412_1_164_20231101","12 上野市駅",,"0",,,,,"5",
"4_501_20231101","5_1_20231101","4_1_5010412_1_117_20231101","12 上野市駅",,"0",,,,,"5",
"4_501_20231101","5_1_20231101","4_1_5010412_1_118_20231101","12 上野市駅",,"0",,,,,"5",
"4_501_20231101","5_2_20231101","4_2_5010412_1_28_20231101","12 上野市駅",,"0",,,,,"5",
"4_501_20231101","5_2_20231101","4_2_5010412_1_210_20231101","12 上野市駅",,"0",,,,,"5",
"4_501_20231101","5_2_20231101","4_2_5010412_1_212_20231101","12 上野市駅",,"0",,,,,"5",
"4_501_20231101","5_2_20231101","4_2_5010412_1_214_20231101","12 上野市駅",,"0",,,,,"5",
"4_501_20231101","5_3_20231101","4_3_5010412_1_38_20231101","12 上野市駅",,"0",,,,,"5",
"4_501_20231101","5_3_20231101","4_3_5010412_1_310_20231101","12 上野市駅",,"0",,,,,"5",
"4_501_20231101","5_3_20231101","4_3_5010412_1_312_20231101","12 上野市駅",,"0",,,,,"5",
"4_501_20231101","5_3_20231101","4_3_5010412_1_314_20231101","12 上野市駅",,"0",,,,,"5",
"4_504_20231101","5_1_20231101","4_1_5040211_2_123_20231101","60 国道山添",,"1",,,,,"5",
"4_504_20231101","5_1_20231101","4_1_5040211_2_124_20231101","60 国道山添",,"1",,,,,"5",
"4_504_20231101","5_1_20231101","4_1_5040211_2_125_20231101","60 国道山添",,"1",,,,,"5",
"4_504_20231101","5_1_20231101","4_1_5040211_2_126_20231101","60 国道山添",,"1",,,,,"5",
"4_504_20231101","5_1_20231101","4_1_5040211_2_127_20231101","60 国道山添",,"1",,,,,"5",
"4_504_20231101","5_1_20231101","4_1_5040212_1_128_20231101","60 上野市駅",,"0",,,,,"5",
"4_504_20231101","5_1_20231101","4_1_5040212_1_129_20231101","60 上野市駅",,"0",,,,,"5",
"4_504_20231101","5_1_20231101","4_1_5040212_1_130_20231101","60 上野市駅",,"0",,,,,"5",
"4_504_20231101","5_1_20231101","4_1_5040212_1_131_20231101","60 上野市駅",,"0",,,,,"5",
"4_504_20231101","5_1_20231101","4_1_5040212_1_132_20231101","60 上野市駅",,"0",,,,,"5",
"4_505_20231101","5_1_20231101","4_1_5050211_2_134_20231101","26 阿山支所前",,"1",,,,,"5",
"4_505_20231101","5_1_20231101","4_1_5050211_2_136_20231101","26 阿山支所前",,"1",,,,,"5",
"4_505_20231101","5_1_20231101","4_1_5050211_2_12_20231101","26 阿山支所前",,"1",,,,,"5",
"4_505_20231101","5_1_20231101","4_1_5050211_2_139_20231101","26 阿山支所前",,"1",,,,,"5",
"4_505_20231101","5_1_20231101","4_1_5050211_2_138_20231101","26 阿山支所前",,"1",,,,,"5",
"4_505_20231101","5_1_20231101","4_1_5050211_2_142_20231101","26 阿山支所前",,"1",,,,,"5",
"4_505_20231101","5_1_20231101","4_1_5050212_1_140_20231101","26 上野市駅",,"0",,,,,"5",
"4_505_20231101","5_1_20231101","4_1_5050212_1_141_20231101","26 上野市駅",,"0",,,,,"5",
"4_505_20231101","5_1_20231101","4_1_5050212_1_143_20231101","26 上野市駅",,"0",,,,,"5",
"4_505_20231101","5_1_20231101","4_1_5050212_1_120_20231101","26 上野市駅",,"0",,,,,"5",
"4_505_20231101","5_1_20231101","4_1_5050212_1_146_20231101","26 上野市駅",,"0",,,,,"5",
"4_505_20231101","5_1_20231101","4_1_5050212_1_145_20231101","26 上野市駅",,"0",,,,,"5",
"4_505_20231101","5_1_20231101","4_1_5050311_2_147_20231101","26 阿山支所前",,"1",,,,,"5",
"4_505_20231101","5_1_20231101","4_1_5050311_2_148_20231101","26 阿山支所前",,"1",,,,,"5",
"4_505_20231101","5_1_20231101","4_1_5050312_1_149_20231101","26 上野市駅",,"0",,,,,"5",
"4_506_20231101","5_1_20231101","4_1_5060411_2_151_20231101","27 新堂駅南口",,"1",,,,,"5",
"4_506_20231101","5_1_20231101","4_1_5060411_2_152_20231101","27 新堂駅南口",,"1",,,,,"5",
"4_506_20231101","5_1_20231101","4_1_5060411_2_153_20231101","27 新堂駅南口",,"1",,,,,"5",
"4_506_20231101","5_2_20231101","4_2_5060411_2_243_20231101","27 新堂駅南口",,"1",,,,,"5",
"4_506_20231101","5_3_20231101","4_3_5060411_2_343_20231101","27 新堂駅南口",,"1",,,,,"5",
"4_506_20231101","5_1_20231101","4_1_5060412_1_154_20231101","27 上野市駅",,"0",,,,,"5",
"4_506_20231101","5_1_20231101","4_1_5060412_1_155_20231101","27 上野市駅",,"0",,,,,"5",
"4_506_20231101","5_1_20231101","4_1_5060412_1_156_20231101","27 上野市駅",,"0",,,,,"5",
"4_506_20231101","5_2_20231101","4_2_5060412_1_245_20231101","27 上野市駅",,"0",,,,,"5",
"4_506_20231101","5_2_20231101","4_2_5060412_1_246_20231101","27 上野市駅",,"0",,,,,"5",
"4_506_20231101","5_3_20231101","4_3_5060412_1_345_20231101","27 上野市駅",,"0",,,,,"5",
"4_506_20231101","5_3_20231101","4_3_5060412_1_346_20231101","27 上野市駅",,"0",,,,,"5",
"4_506_20231101","5_1_20231101","4_1_5060511_2_157_20231101","29 新堂駅南口",,"1",,,,,"5",
"4_506_20231101","5_1_20231101","4_1_5060511_2_158_20231101","29 新堂駅南口",,"1",,,,,"5",
"4_506_20231101","5_1_20231101","4_1_5060511_2_159_20231101","29 新堂駅南口",,"1",,,,,"5",
"4_506_20231101","5_2_20231101","4_2_5060511_2_247_20231101","29 新堂駅南口",,"1",,,,,"5",
"4_506_20231101","5_2_20231101","4_2_5060511_2_248_20231101","29 新堂駅南口",,"1",,,,,"5",
"4_506_20231101","5_2_20231101","4_2_5060511_2_249_20231101","29 新堂駅南口",,"1",,,,,"5",
"4_506_20231101","5_3_20231101","4_3_5060511_2_347_20231101","29 新堂駅南口",,"1",,,,,"5",
"4_506_20231101","5_3_20231101","4_3_5060511_2_348_20231101","29 新堂駅南口",,"1",,,,,"5",
"4_506_20231101","5_3_20231101","4_3_5060511_2_349_20231101","29 新堂駅南口",,"1",,,,,"5",
"4_506_20231101","5_1_20231101","4_1_5060512_1_160_20231101","29 上野市駅",,"0",,,,,"5",
